symbols,relations,k,vertical_support,tirp_obj,tirp_str,is_closed,is_super_pattern
"(18, 13)","('<',)",2,0.9,,GLUCOSE_MEASURE_TREND:Steady < GLUCOSE_MEASURE_STATE:Low Glucose,False,False
"(17, 5)","('o',)",2,0.9,,GLUCOSE_MEASURE_TREND:Increasing o BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(17, 20)","('o',)",2,0.9,,GLUCOSE_MEASURE_TREND:Increasing o MEAL_CONTEXT:Dinner,False,False
"(17, 13)","('<',)",2,0.9,,GLUCOSE_MEASURE_TREND:Increasing < GLUCOSE_MEASURE_STATE:Low Glucose,False,False
"(17, 16)","('<',)",2,0.9,,GLUCOSE_MEASURE_TREND:Increasing < GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(17, 10)","('<',)",2,0.9,,GLUCOSE_MEASURE_TREND:Increasing < GLUCOSE_MEASURE_STATE:High Glucose,False,False
"(17, 6)","('o',)",2,0.9,,GLUCOSE_MEASURE_TREND:Increasing o BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(16, 14)","('<',)",2,0.9,,GLUCOSE_MEASURE_TREND:Decreasing < GLUCOSE_MEASURE_STATE:Normal Glucose,False,False
"(16, 8)","('<',)",2,0.9,,GLUCOSE_MEASURE_TREND:Decreasing < DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(16, 10)","('<',)",2,0.9,,GLUCOSE_MEASURE_TREND:Decreasing < GLUCOSE_MEASURE_STATE:High Glucose,False,False
"(14, 20)","('c',)",2,0.9,,GLUCOSE_MEASURE_STATE:Normal Glucose c MEAL_CONTEXT:Dinner,False,False
"(14, 13)","('<',)",2,0.9,,GLUCOSE_MEASURE_STATE:Normal Glucose < GLUCOSE_MEASURE_STATE:Low Glucose,False,False
"(14, 19)","('o',)",2,0.9,,GLUCOSE_MEASURE_STATE:Normal Glucose o MEAL_CONTEXT:Breakfast,False,False
"(14, 16)","('<',)",2,0.9,,GLUCOSE_MEASURE_STATE:Normal Glucose < GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(13, 21)","('<',)",2,0.9,,GLUCOSE_MEASURE_STATE:Low Glucose < MEAL_CONTEXT:Lunch,False,False
"(13, 17)","('<',)",2,0.9,,GLUCOSE_MEASURE_STATE:Low Glucose < GLUCOSE_MEASURE_TREND:Increasing,False,False
"(13, 19)","('o',)",2,0.9,,GLUCOSE_MEASURE_STATE:Low Glucose o MEAL_CONTEXT:Breakfast,False,False
"(13, 8)","('<',)",2,0.9,,GLUCOSE_MEASURE_STATE:Low Glucose < DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(13, 10)","('<',)",2,0.9,,GLUCOSE_MEASURE_STATE:Low Glucose < GLUCOSE_MEASURE_STATE:High Glucose,False,False
"(13, 6)","('c',)",2,0.9,,GLUCOSE_MEASURE_STATE:Low Glucose c BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(13, 20)","('c',)",2,0.9,,GLUCOSE_MEASURE_STATE:Low Glucose c MEAL_CONTEXT:Dinner,False,False
"(13, 17)","('c',)",2,0.9,,GLUCOSE_MEASURE_STATE:Low Glucose c GLUCOSE_MEASURE_TREND:Increasing,False,False
"(13, 21)","('o',)",2,0.9,,GLUCOSE_MEASURE_STATE:Low Glucose o MEAL_CONTEXT:Lunch,False,False
"(11, 8)","('c',)",2,0.9,,GLUCOSE_MEASURE_STATE:Hyperglycemia c DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(10, 14)","('<',)",2,0.9,,GLUCOSE_MEASURE_STATE:High Glucose < GLUCOSE_MEASURE_STATE:Normal Glucose,False,False
"(8, 21)","('<',)",2,0.9,,DISGLYCEMIA_EVENT:Hyperglycemia < MEAL_CONTEXT:Lunch,False,False
"(8, 16)","('<',)",2,0.9,,DISGLYCEMIA_EVENT:Hyperglycemia < GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(8, 8)","('<',)",2,0.9,,DISGLYCEMIA_EVENT:Hyperglycemia < DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(8, 19)","('<',)",2,0.9,,DISGLYCEMIA_EVENT:Hyperglycemia < MEAL_CONTEXT:Breakfast,False,False
"(8, 20)","('<',)",2,0.9,,DISGLYCEMIA_EVENT:Hyperglycemia < MEAL_CONTEXT:Dinner,False,False
"(6, 19)","('<',)",2,0.9,,BOLUS_BITZUA_STATE:SubCutaneous Medium < MEAL_CONTEXT:Breakfast,False,False
"(6, 8)","('<',)",2,0.9,,BOLUS_BITZUA_STATE:SubCutaneous Medium < DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(6, 18)","('<',)",2,0.9,,BOLUS_BITZUA_STATE:SubCutaneous Medium < GLUCOSE_MEASURE_TREND:Steady,False,False
"(6, 5)","('<',)",2,0.9,,BOLUS_BITZUA_STATE:SubCutaneous Medium < BOLUS_BITZUA_STATE:SubCutaneous Low,True,False
"(5, 20)","('o',)",2,0.9,,BOLUS_BITZUA_STATE:SubCutaneous Low o MEAL_CONTEXT:Dinner,False,False
"(5, 6)","('<',)",2,0.9,,BOLUS_BITZUA_STATE:SubCutaneous Low < BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(5, 13)","('o',)",2,0.9,,BOLUS_BITZUA_STATE:SubCutaneous Low o GLUCOSE_MEASURE_STATE:Low Glucose,True,False
"(5, 17)","('<',)",2,0.9,,BOLUS_BITZUA_STATE:SubCutaneous Low < GLUCOSE_MEASURE_TREND:Increasing,False,False
"(5, 18)","('o',)",2,0.9,,BOLUS_BITZUA_STATE:SubCutaneous Low o GLUCOSE_MEASURE_TREND:Steady,False,False
"(5, 10)","('o',)",2,0.9,,BOLUS_BITZUA_STATE:SubCutaneous Low o GLUCOSE_MEASURE_STATE:High Glucose,False,False
"(5, 19)","('<',)",2,0.9,,BOLUS_BITZUA_STATE:SubCutaneous Low < MEAL_CONTEXT:Breakfast,False,False
"(3, 5)","('c',)",2,0.9,,BASAL_BITZUA_STATE:SubCutaneous Medium c BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(3, 19)","('c',)",2,0.9,,BASAL_BITZUA_STATE:SubCutaneous Medium c MEAL_CONTEXT:Breakfast,False,False
"(3, 18)","('c',)",2,0.9,,BASAL_BITZUA_STATE:SubCutaneous Medium c GLUCOSE_MEASURE_TREND:Steady,False,False
"(2, 6)","('c',)",2,0.9,,BASAL_BITZUA_STATE:SubCutaneous Low c BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(2, 13)","('c',)",2,0.9,,BASAL_BITZUA_STATE:SubCutaneous Low c GLUCOSE_MEASURE_STATE:Low Glucose,False,False
"(2, 3)","('<',)",2,0.9,,BASAL_BITZUA_STATE:SubCutaneous Low < BASAL_BITZUA_STATE:SubCutaneous Medium,False,False
"(2, 17)","('c',)",2,0.9,,BASAL_BITZUA_STATE:SubCutaneous Low c GLUCOSE_MEASURE_TREND:Increasing,True,False
"(2, 10)","('c',)",2,0.9,,BASAL_BITZUA_STATE:SubCutaneous Low c GLUCOSE_MEASURE_STATE:High Glucose,False,False
"(21, 13)","('<',)",2,0.8,,MEAL_CONTEXT:Lunch < GLUCOSE_MEASURE_STATE:Low Glucose,False,False
"(21, 8)","('c',)",2,0.8,,MEAL_CONTEXT:Lunch c DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(21, 14)","('o',)",2,0.8,,MEAL_CONTEXT:Lunch o GLUCOSE_MEASURE_STATE:Normal Glucose,False,False
"(20, 17)","('<',)",2,0.8,,MEAL_CONTEXT:Dinner < GLUCOSE_MEASURE_TREND:Increasing,False,False
"(20, 16)","('o',)",2,0.8,,MEAL_CONTEXT:Dinner o GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(20, 10)","('<',)",2,0.8,,MEAL_CONTEXT:Dinner < GLUCOSE_MEASURE_STATE:High Glucose,False,False
"(20, 18)","('o',)",2,0.8,,MEAL_CONTEXT:Dinner o GLUCOSE_MEASURE_TREND:Steady,True,False
"(19, 8)","('<',)",2,0.8,,MEAL_CONTEXT:Breakfast < DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(19, 17)","('o',)",2,0.8,,MEAL_CONTEXT:Breakfast o GLUCOSE_MEASURE_TREND:Increasing,False,False
"(19, 16)","('o',)",2,0.8,,MEAL_CONTEXT:Breakfast o GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(19, 14)","('<',)",2,0.8,,MEAL_CONTEXT:Breakfast < GLUCOSE_MEASURE_STATE:Normal Glucose,False,False
"(18, 19)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Steady < MEAL_CONTEXT:Breakfast,True,False
"(18, 20)","('c',)",2,0.8,,GLUCOSE_MEASURE_TREND:Steady c MEAL_CONTEXT:Dinner,False,False
"(18, 21)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Steady < MEAL_CONTEXT:Lunch,False,False
"(18, 10)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Steady < GLUCOSE_MEASURE_STATE:High Glucose,False,False
"(18, 9)","('c',)",2,0.8,,GLUCOSE_MEASURE_TREND:Steady c DISGLYCEMIA_EVENT:Hypoglycemia,False,False
"(18, 9)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Steady < DISGLYCEMIA_EVENT:Hypoglycemia,False,False
"(18, 5)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Steady < BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(18, 21)","('o',)",2,0.8,,GLUCOSE_MEASURE_TREND:Steady o MEAL_CONTEXT:Lunch,False,False
"(18, 6)","('o',)",2,0.8,,GLUCOSE_MEASURE_TREND:Steady o BOLUS_BITZUA_STATE:SubCutaneous Medium,True,False
"(17, 6)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Increasing < BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(17, 14)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Increasing < GLUCOSE_MEASURE_STATE:Normal Glucose,False,False
"(17, 10)","('c',)",2,0.8,,GLUCOSE_MEASURE_TREND:Increasing c GLUCOSE_MEASURE_STATE:High Glucose,False,False
"(17, 5)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Increasing < BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(16, 6)","('o',)",2,0.8,,GLUCOSE_MEASURE_TREND:Decreasing o BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(16, 19)","('o',)",2,0.8,,GLUCOSE_MEASURE_TREND:Decreasing o MEAL_CONTEXT:Breakfast,False,False
"(16, 5)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Decreasing < BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(16, 9)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Decreasing < DISGLYCEMIA_EVENT:Hypoglycemia,False,False
"(16, 19)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Decreasing < MEAL_CONTEXT:Breakfast,False,False
"(16, 13)","('<',)",2,0.8,,GLUCOSE_MEASURE_TREND:Decreasing < GLUCOSE_MEASURE_STATE:Low Glucose,True,False
"(16, 20)","('o',)",2,0.8,,GLUCOSE_MEASURE_TREND:Decreasing o MEAL_CONTEXT:Dinner,True,False
"(14, 18)","('c',)",2,0.8,,GLUCOSE_MEASURE_STATE:Normal Glucose c GLUCOSE_MEASURE_TREND:Steady,False,False
"(14, 5)","('<',)",2,0.8,,GLUCOSE_MEASURE_STATE:Normal Glucose < BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(14, 17)","('c',)",2,0.8,,GLUCOSE_MEASURE_STATE:Normal Glucose c GLUCOSE_MEASURE_TREND:Increasing,False,False
"(13, 17)","('o',)",2,0.8,,GLUCOSE_MEASURE_STATE:Low Glucose o GLUCOSE_MEASURE_TREND:Increasing,False,False
"(13, 5)","('o',)",2,0.8,,GLUCOSE_MEASURE_STATE:Low Glucose o BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(13, 3)","('o',)",2,0.8,,GLUCOSE_MEASURE_STATE:Low Glucose o BASAL_BITZUA_STATE:SubCutaneous Medium,False,False
"(13, 21)","('c',)",2,0.8,,GLUCOSE_MEASURE_STATE:Low Glucose c MEAL_CONTEXT:Lunch,False,False
"(13, 5)","('c',)",2,0.8,,GLUCOSE_MEASURE_STATE:Low Glucose c BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(13, 9)","('<',)",2,0.8,,GLUCOSE_MEASURE_STATE:Low Glucose < DISGLYCEMIA_EVENT:Hypoglycemia,False,False
"(13, 5)","('<',)",2,0.8,,GLUCOSE_MEASURE_STATE:Low Glucose < BOLUS_BITZUA_STATE:SubCutaneous Low,True,False
"(13, 19)","('c',)",2,0.8,,GLUCOSE_MEASURE_STATE:Low Glucose c MEAL_CONTEXT:Breakfast,False,False
"(12, 9)","('c',)",2,0.8,,GLUCOSE_MEASURE_STATE:Hypoglycemia c DISGLYCEMIA_EVENT:Hypoglycemia,False,False
"(10, 6)","('o',)",2,0.8,,GLUCOSE_MEASURE_STATE:High Glucose o BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(10, 17)","('c',)",2,0.8,,GLUCOSE_MEASURE_STATE:High Glucose c GLUCOSE_MEASURE_TREND:Increasing,False,False
"(10, 8)","('<',)",2,0.8,,GLUCOSE_MEASURE_STATE:High Glucose < DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(10, 6)","('<',)",2,0.8,,GLUCOSE_MEASURE_STATE:High Glucose < BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(10, 19)","('o',)",2,0.8,,GLUCOSE_MEASURE_STATE:High Glucose o MEAL_CONTEXT:Breakfast,False,False
"(10, 18)","('c',)",2,0.8,,GLUCOSE_MEASURE_STATE:High Glucose c GLUCOSE_MEASURE_TREND:Steady,False,False
"(9, 17)","('<',)",2,0.8,,DISGLYCEMIA_EVENT:Hypoglycemia < GLUCOSE_MEASURE_TREND:Increasing,False,False
"(8, 6)","('<',)",2,0.8,,DISGLYCEMIA_EVENT:Hyperglycemia < BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(8, 14)","('<',)",2,0.8,,DISGLYCEMIA_EVENT:Hyperglycemia < GLUCOSE_MEASURE_STATE:Normal Glucose,False,False
"(7, 22)","('<',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE < RELEASE_EVENT:TRUE,False,False
"(7, 3)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c BASAL_BITZUA_STATE:SubCutaneous Medium,False,False
"(7, 2)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c BASAL_BITZUA_STATE:SubCutaneous Low,False,False
"(7, 19)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c MEAL_CONTEXT:Breakfast,False,False
"(7, 13)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c GLUCOSE_MEASURE_STATE:Low Glucose,False,False
"(7, 18)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c GLUCOSE_MEASURE_TREND:Steady,False,False
"(7, 5)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(7, 20)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c MEAL_CONTEXT:Dinner,False,False
"(7, 8)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(7, 16)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(7, 10)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c GLUCOSE_MEASURE_STATE:High Glucose,False,False
"(7, 6)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(7, 17)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c GLUCOSE_MEASURE_TREND:Increasing,False,False
"(7, 14)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c GLUCOSE_MEASURE_STATE:Normal Glucose,False,False
"(7, 21)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c MEAL_CONTEXT:Lunch,False,False
"(7, 0)","('c',)",2,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE c ADMISSION_EVENT:TRUE,False,False
"(6, 17)","('o',)",2,0.8,,BOLUS_BITZUA_STATE:SubCutaneous Medium o GLUCOSE_MEASURE_TREND:Increasing,False,False
"(6, 16)","('<',)",2,0.8,,BOLUS_BITZUA_STATE:SubCutaneous Medium < GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(6, 14)","('<',)",2,0.8,,BOLUS_BITZUA_STATE:SubCutaneous Medium < GLUCOSE_MEASURE_STATE:Normal Glucose,False,False
